"filename", "language", "PHP", "Log", "Markdown", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\MiraiTravel.php", "PHP", 202, 0, 0, 11, 27, 240
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 0, 0, 17, 0, 18, 35
"f:\Project\工作文件夹\MiraiTravel\components\exampleComponent\V0.1.1\exampleComponent.php", "PHP", 15, 0, 0, 3, 5, 23
"f:\Project\工作文件夹\MiraiTravel\components\webhook\V0.1.1\webhook.php", "PHP", 5, 0, 0, 0, 5, 10
"f:\Project\工作文件夹\MiraiTravel\core\component.php", "PHP", 34, 0, 0, 18, 13, 65
"f:\Project\工作文件夹\MiraiTravel\core\componentSystem.php", "PHP", 35, 0, 0, 6, 9, 50
"f:\Project\工作文件夹\MiraiTravel\core\dataSystem.php", "PHP", 109, 0, 0, 25, 12, 146
"f:\Project\工作文件夹\MiraiTravel\core\httpAdapter.php", "PHP", 92, 0, 0, 10, 11, 113
"f:\Project\工作文件夹\MiraiTravel\core\logSystem.php", "PHP", 106, 0, 0, 27, 9, 142
"f:\Project\工作文件夹\MiraiTravel\core\messageChain.php", "PHP", 54, 0, 0, 29, 12, 95
"f:\Project\工作文件夹\MiraiTravel\core\miraiApiHttp.php", "PHP", 139, 0, 0, 107, 30, 276
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\config.php", "PHP", 60, 0, 0, 3, 7, 70
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\help.php", "PHP", 22, 0, 0, 3, 7, 32
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\qqBot.php", "PHP", 99, 0, 0, 3, 10, 112
"f:\Project\工作文件夹\MiraiTravel\core\qqObj.php", "PHP", 201, 0, 0, 58, 28, 287
"f:\Project\工作文件夹\MiraiTravel\core\scriptSystem.php", "PHP", 38, 0, 0, 13, 8, 59
"f:\Project\工作文件夹\MiraiTravel\core\webhookAdapter.php", "PHP", 32, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel\loadMiraiTravel.php", "PHP", 11, 0, 0, 3, 4, 18
"f:\Project\工作文件夹\MiraiTravel\logs\httpAdapter.log", "Log", 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\script\Q2771717841.php", "PHP", 16, 0, 0, 15, 7, 38
"f:\Project\工作文件夹\MiraiTravel\webhook.php", "PHP", 19, 0, 0, 6, 12, 37
"Total", "-", 1289, 0, 17, 357, 244, 1907
