"filename", "language", "Markdown", "PHP", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\components\easyMirai\V0.1.1\easyMirai.php", "PHP", 0, 32, 6, 7, 45
"f:\Project\工作文件夹\MiraiTravel\components\exampleComponent\V0.1.1\exampleComponent.php", "PHP", 0, -24, -3, -9, -36
"f:\Project\工作文件夹\MiraiTravel\components\webhook\V0.1.1\webhook.php", "PHP", 0, 26, 14, 2, 42
"f:\Project\工作文件夹\MiraiTravel\core\component.php", "PHP", 0, 3, 1, -1, 3
"f:\Project\工作文件夹\MiraiTravel\core\componentSystem.php", "PHP", 0, 5, 3, 2, 10
"f:\Project\工作文件夹\MiraiTravel\core\dataSystem.php", "PHP", 0, 3, 0, 0, 3
"f:\Project\工作文件夹\MiraiTravel\core\messageChain.php", "PHP", 0, 5, 4, 1, 10
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\config.php", "PHP", 0, 15, 0, 0, 15
"f:\Project\工作文件夹\MiraiTravel\core\qqObj.php", "PHP", 0, -18, -41, -1, -60
"f:\Project\工作文件夹\MiraiTravel\core\scriptSystem.php", "PHP", 0, 6, 0, 1, 7
"f:\Project\工作文件夹\MiraiTravel\docs\MiraiTravel.md", "Markdown", 5, 0, 0, -1, 4
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot.md", "Markdown", 5, 0, 0, 1, 6
"f:\Project\工作文件夹\MiraiTravel\script\Q2771717841.php", "PHP", 0, -1, 0, 0, -1
"f:\Project\工作文件夹\MiraiTravel\webhook.php", "PHP", 0, 8, 0, 1, 9
"Total", "-", 10, 60, -16, 3, 57
