"filename", "language", "PHP", "Markdown", "Log", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\MiraiTravel.php", "PHP", 206, 0, 0, 11, 27, 244
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 0, 47, 0, 1, 14, 62
"f:\Project\工作文件夹\MiraiTravel\components\easyMirai\V0.1.1\easyMirai.php", "PHP", 84, 0, 0, 27, 12, 123
"f:\Project\工作文件夹\MiraiTravel\components\webhook\V0.1.1\webhook.php", "PHP", 48, 0, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel\core\component.php", "PHP", 39, 0, 0, 20, 18, 77
"f:\Project\工作文件夹\MiraiTravel\core\componentSystem.php", "PHP", 40, 0, 0, 9, 11, 60
"f:\Project\工作文件夹\MiraiTravel\core\dataSystem.php", "PHP", 112, 0, 0, 25, 12, 149
"f:\Project\工作文件夹\MiraiTravel\core\httpAdapter.php", "PHP", 92, 0, 0, 10, 11, 113
"f:\Project\工作文件夹\MiraiTravel\core\logSystem.php", "PHP", 106, 0, 0, 27, 9, 142
"f:\Project\工作文件夹\MiraiTravel\core\messageChain.php", "PHP", 103, 0, 0, 44, 20, 167
"f:\Project\工作文件夹\MiraiTravel\core\miraiApiHttp.php", "PHP", 241, 0, 0, 147, 41, 429
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\config.php", "PHP", 121, 0, 0, 3, 11, 135
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\help.php", "PHP", 22, 0, 0, 3, 7, 32
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\plugins.php", "PHP", 55, 0, 0, 3, 8, 66
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\qqBot.php", "PHP", 95, 0, 0, 3, 9, 107
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\stay.php", "PHP", 53, 0, 0, 3, 8, 64
"f:\Project\工作文件夹\MiraiTravel\core\plugin.php", "PHP", 17, 0, 0, 9, 12, 38
"f:\Project\工作文件夹\MiraiTravel\core\pluginSystem.php", "PHP", 40, 0, 0, 9, 11, 60
"f:\Project\工作文件夹\MiraiTravel\core\qqObj.php", "PHP", 369, 0, 0, 130, 49, 548
"f:\Project\工作文件夹\MiraiTravel\core\scriptSystem.php", "PHP", 44, 0, 0, 13, 9, 66
"f:\Project\工作文件夹\MiraiTravel\core\webhookAdapter.php", "PHP", 32, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel\docs\Component.md", "Markdown", 0, 6, 0, 0, 8, 14
"f:\Project\工作文件夹\MiraiTravel\docs\MiraiTravel.md", "Markdown", 0, 29, 0, 0, 10, 39
"f:\Project\工作文件夹\MiraiTravel\docs\Plugin.md", "Markdown", 0, 4, 0, 0, 4, 8
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot.md", "Markdown", 0, 55, 0, 0, 15, 70
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot\QQBot手册.md", "Markdown", 0, 47, 0, 0, 15, 62
"f:\Project\工作文件夹\MiraiTravel\docs\System.md", "Markdown", 0, 8, 0, 0, 4, 12
"f:\Project\工作文件夹\MiraiTravel\docs\System\开放对象.md", "Markdown", 0, 3, 0, 0, 5, 8
"f:\Project\工作文件夹\MiraiTravel\loadMiraiTravel.php", "PHP", 11, 0, 0, 3, 4, 18
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\script.log", "Log", 0, 0, 102, 0, 0, 102
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\sendMessage.log", "Log", 0, 0, 31, 0, 26, 57
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\webhook.log", "Log", 0, 0, 124, 0, 0, 124
"f:\Project\工作文件夹\MiraiTravel\logs\httpAdapter.log", "Log", 0, 0, 90, 0, 0, 90
"f:\Project\工作文件夹\MiraiTravel\logs\miraiApiHttp.log", "Log", 0, 0, 60, 0, 0, 60
"f:\Project\工作文件夹\MiraiTravel\logs\miraiTravel.log", "Log", 0, 0, 2, 0, 0, 2
"f:\Project\工作文件夹\MiraiTravel\logs\webhook.log", "Log", 0, 0, 56, 0, 0, 56
"f:\Project\工作文件夹\MiraiTravel\plugins\bilibiliFans\V0.1.0\bilibiliFans.php", "PHP", 58, 0, 0, 0, 12, 70
"f:\Project\工作文件夹\MiraiTravel\plugins\groupManager\V0.1.0\groupManager.php", "PHP", 78, 0, 0, 0, 13, 91
"f:\Project\工作文件夹\MiraiTravel\plugins\runoobC\V0.1.0\runoobC.php", "PHP", 125, 0, 0, 0, 14, 139
"f:\Project\工作文件夹\MiraiTravel\script\Q2771717841.php", "PHP", 25, 0, 0, 16, 8, 49
"f:\Project\工作文件夹\MiraiTravel\webhook.php", "PHP", 30, 0, 0, 6, 14, 50
"Total", "-", 2246, 199, 465, 558, 466, 3934
