"filename", "language", "Markdown", "PHP", "JSON", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\CONTRIBUTING.md", "Markdown", 3, 0, 0, 0, 3, 6
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", -11, 0, 0, -1, -8, -20
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\config.json", "JSON", 0, 0, 3, 0, 1, 4
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\easyMirai\V0.1.1\easyMirai.php", "PHP", 0, 154, 0, 33, 13, 200
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\httpAdapter.php", "PHP", 0, 94, 0, 10, 12, 116
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\messageChain.php", "PHP", 0, 135, 0, 56, 23, 214
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\miraiApiHttp.php", "PHP", 0, 286, 0, 172, 52, 510
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\qqObj.php", "PHP", 0, 472, 0, 163, 58, 693
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\webhookAdapter.php", "PHP", 0, 32, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\webhook\V0.1.1\webhook.php", "PHP", 0, 48, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\QQObj.php", "PHP", 0, 125, 0, 150, 46, 321
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\QQObjManager.php", "PHP", 0, 54, 0, 9, 8, 71
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\messageChain.php", "PHP", 0, 46, 0, 56, 17, 119
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\president.php", "PHP", 0, 118, 0, 150, 45, 313
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\easyQQ\V0.1.1\easyMirai.php", "PHP", 0, 38, 0, 11, 8, 57
"f:\Project\工作文件夹\MiraiTravel\components\easyMirai\V0.1.1\easyMirai.php", "PHP", 0, -154, 0, -33, -13, -200
"f:\Project\工作文件夹\MiraiTravel\components\webhook\V0.1.1\webhook.php", "PHP", 0, -48, 0, -19, -6, -73
"f:\Project\工作文件夹\MiraiTravel\core\httpAdapter.php", "PHP", 0, -92, 0, -10, -11, -113
"f:\Project\工作文件夹\MiraiTravel\core\loadMiraiTravel.php", "PHP", 0, 11, 0, 3, 4, 18
"f:\Project\工作文件夹\MiraiTravel\core\messageChain.php", "PHP", 0, -122, 0, -50, -22, -194
"f:\Project\工作文件夹\MiraiTravel\core\miraiApiHttp.php", "PHP", 0, -285, 0, -172, -50, -507
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravel.php", "PHP", 0, -7, 0, 3, -1, -5
"f:\Project\工作文件夹\MiraiTravel\core\qqObj.php", "PHP", 0, -468, 0, -163, -58, -689
"f:\Project\工作文件夹\MiraiTravel\core\webhookAdapter.php", "PHP", 0, -32, 0, -17, -9, -58
"f:\Project\工作文件夹\MiraiTravel\docs\Plugin.md", "Markdown", 24, 0, 0, 0, 3, 27
"f:\Project\工作文件夹\MiraiTravel\loadMiraiTravel.php", "PHP", 0, -11, 0, -3, -4, -18
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\bilibiliFans\V0.1.0\bilibiliFans.php", "PHP", 0, 58, 0, 0, 12, 70
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\bilibiliFans\V0.1.0\config.json", "JSON", 0, 0, 8, 0, 0, 8
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\groupManager\V0.1.0\config.json", "JSON", 0, 0, 10, 0, 0, 10
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\groupManager\V0.1.0\groupManager.php", "PHP", 0, 100, 0, 3, 15, 118
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\runoobC\V0.1.0\README.md", "Markdown", 5, 0, 0, 0, 4, 9
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\runoobC\V0.1.0\config.json", "JSON", 0, 0, 10, 0, 0, 10
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\runoobC\V0.1.0\runoobC.php", "PHP", 0, 125, 0, 0, 14, 139
"f:\Project\工作文件夹\MiraiTravel\plugins\bilibiliFans\V0.1.0\bilibiliFans.php", "PHP", 0, -58, 0, 0, -12, -70
"f:\Project\工作文件夹\MiraiTravel\plugins\bilibiliFans\V0.1.0\config.json", "JSON", 0, 0, -8, 0, 0, -8
"f:\Project\工作文件夹\MiraiTravel\plugins\groupManager\V0.1.0\config.json", "JSON", 0, 0, -10, 0, 0, -10
"f:\Project\工作文件夹\MiraiTravel\plugins\groupManager\V0.1.0\groupManager.php", "PHP", 0, -100, 0, -3, -15, -118
"f:\Project\工作文件夹\MiraiTravel\plugins\runoobC\V0.1.0\README.md", "Markdown", -5, 0, 0, 0, -4, -9
"f:\Project\工作文件夹\MiraiTravel\plugins\runoobC\V0.1.0\config.json", "JSON", 0, 0, -10, 0, 0, -10
"f:\Project\工作文件夹\MiraiTravel\plugins\runoobC\V0.1.0\runoobC.php", "PHP", 0, -125, 0, 0, -14, -139
"f:\Project\工作文件夹\MiraiTravel\public\webhook.php", "PHP", 0, 65, 0, 6, 14, 85
"f:\Project\工作文件夹\MiraiTravel\script\Administrator\QQ.php", "PHP", 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\script\President\QQ.php", "PHP", 0, 42, 0, 37, 11, 90
"f:\Project\工作文件夹\MiraiTravel\script\Q2771717841.php", "PHP", 0, -25, 0, -16, -7, -48
"f:\Project\工作文件夹\MiraiTravel\script\QQ\2771717841.php", "PHP", 0, 42, 0, 37, 11, 90
"f:\Project\工作文件夹\MiraiTravel\script\email\eMail01.php", "PHP", 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\script\email\eMail01\config.json", "JSON", 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\webhook.php", "PHP", 0, -65, 0, -6, -14, -85
"Total", "-", 16, 453, 3, 442, 144, 1058
