"filename", "language", "PHP", "Markdown", "Log", "JSON", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 0, 30, 0, 0, 0, 9, 39
"f:\Project\工作文件夹\MiraiTravel\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 0, 15, 0, 0, 0, 6, 21
"f:\Project\工作文件夹\MiraiTravel\CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 36, 129
"f:\Project\工作文件夹\MiraiTravel\CONTRIBUTING.md", "Markdown", 0, 3, 0, 0, 0, 3, 6
"f:\Project\工作文件夹\MiraiTravel\MiraiTravel.php", "PHP", 5, 0, 0, 0, 4, 6, 15
"f:\Project\工作文件夹\MiraiTravel\README.md", "Markdown", 0, 70, 0, 0, 0, 15, 85
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\config.json", "JSON", 0, 0, 0, 3, 0, 1, 4
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\easyMirai\V0.1.1\easyMirai.php", "PHP", 154, 0, 0, 0, 33, 13, 200
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\httpAdapter.php", "PHP", 94, 0, 0, 0, 10, 12, 116
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\messageChain.php", "PHP", 135, 0, 0, 0, 56, 23, 214
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\miraiApiHttp.php", "PHP", 286, 0, 0, 0, 172, 52, 510
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\qqObj.php", "PHP", 472, 0, 0, 0, 163, 58, 693
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\webhookAdapter.php", "PHP", 32, 0, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel\components\QQ\miraiApter\webhook\V0.1.1\webhook.php", "PHP", 48, 0, 0, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\QQObj.php", "PHP", 125, 0, 0, 0, 150, 46, 321
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\QQObjManager.php", "PHP", 54, 0, 0, 0, 9, 8, 71
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\messageChain.php", "PHP", 46, 0, 0, 0, 56, 17, 119
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\basic\V0.1.1\president.php", "PHP", 118, 0, 0, 0, 150, 45, 313
"f:\Project\工作文件夹\MiraiTravel\components\QQ\standardComponents\easyQQ\V0.1.1\easyMirai.php", "PHP", 38, 0, 0, 0, 11, 8, 57
"f:\Project\工作文件夹\MiraiTravel\core\component.php", "PHP", 39, 0, 0, 0, 20, 18, 77
"f:\Project\工作文件夹\MiraiTravel\core\componentSystem.php", "PHP", 40, 0, 0, 0, 9, 11, 60
"f:\Project\工作文件夹\MiraiTravel\core\dataSystem.php", "PHP", 112, 0, 0, 0, 25, 12, 149
"f:\Project\工作文件夹\MiraiTravel\core\loadMiraiTravel.php", "PHP", 11, 0, 0, 0, 3, 4, 18
"f:\Project\工作文件夹\MiraiTravel\core\logSystem.php", "PHP", 106, 0, 0, 0, 27, 9, 142
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravel.php", "PHP", 263, 0, 0, 0, 14, 28, 305
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\config.php", "PHP", 121, 0, 0, 0, 3, 11, 135
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\help.php", "PHP", 22, 0, 0, 0, 3, 7, 32
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\plugins.php", "PHP", 55, 0, 0, 0, 3, 8, 66
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\qqBot.php", "PHP", 95, 0, 0, 0, 3, 9, 107
"f:\Project\工作文件夹\MiraiTravel\core\miraiTravelSoftware\stay.php", "PHP", 53, 0, 0, 0, 3, 8, 64
"f:\Project\工作文件夹\MiraiTravel\core\plugin.php", "PHP", 23, 0, 0, 0, 12, 10, 45
"f:\Project\工作文件夹\MiraiTravel\core\pluginSystem.php", "PHP", 87, 0, 0, 0, 35, 25, 147
"f:\Project\工作文件夹\MiraiTravel\core\scriptSystem.php", "PHP", 44, 0, 0, 0, 13, 9, 66
"f:\Project\工作文件夹\MiraiTravel\docs\Component.md", "Markdown", 0, 6, 0, 0, 0, 8, 14
"f:\Project\工作文件夹\MiraiTravel\docs\MiraiTravel.md", "Markdown", 0, 29, 0, 0, 0, 10, 39
"f:\Project\工作文件夹\MiraiTravel\docs\Plugin.md", "Markdown", 0, 28, 0, 0, 0, 7, 35
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot.md", "Markdown", 0, 55, 0, 0, 0, 15, 70
"f:\Project\工作文件夹\MiraiTravel\docs\QQBot\QQBot手册.md", "Markdown", 0, 47, 0, 0, 0, 15, 62
"f:\Project\工作文件夹\MiraiTravel\docs\System.md", "Markdown", 0, 8, 0, 0, 0, 4, 12
"f:\Project\工作文件夹\MiraiTravel\docs\System\开放对象.md", "Markdown", 0, 3, 0, 0, 0, 5, 8
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\script.log", "Log", 0, 0, 102, 0, 0, 0, 102
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\sendMessage.log", "Log", 0, 0, 31, 0, 0, 26, 57
"f:\Project\工作文件夹\MiraiTravel\logs\Script\2771717841\webhook.log", "Log", 0, 0, 124, 0, 0, 0, 124
"f:\Project\工作文件夹\MiraiTravel\logs\httpAdapter.log", "Log", 0, 0, 90, 0, 0, 0, 90
"f:\Project\工作文件夹\MiraiTravel\logs\miraiApiHttp.log", "Log", 0, 0, 60, 0, 0, 0, 60
"f:\Project\工作文件夹\MiraiTravel\logs\miraiTravel.log", "Log", 0, 0, 2, 0, 0, 0, 2
"f:\Project\工作文件夹\MiraiTravel\logs\webhook.log", "Log", 0, 0, 56, 0, 0, 1, 57
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\bilibiliFans\V0.1.0\bilibiliFans.php", "PHP", 58, 0, 0, 0, 0, 12, 70
"f:\Project\工作文件夹\MiraiTravel\plugins\QQ\bilibiliFans\V0.1.0\config.json", "JSON", 0, 0, 0, 8, 0, 0, 8
