"filename", "language", "PHP", "JSON", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\QQObjTrait.php", "PHP", 66, 0, 174, 41, 281
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\httpAdapter.php", "PHP", 94, 0, 10, 12, 116
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\messageChain.php", "PHP", 135, 0, 56, 23, 214
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\miraiApiHttp.php", "PHP", 286, 0, 172, 52, 510
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\president.php", "PHP", 18, 0, 8, 6, 32
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\qqObj.php", "PHP", 420, 0, 154, 51, 625
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\webhookAdapter.php", "PHP", 32, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\config.json", "JSON", 0, 6, 0, 0, 6
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\easyMirai\V0.1.1\easyMirai.php", "PHP", 34, 0, 11, 5, 50
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\mirai.php", "PHP", 1, 0, 0, 5, 6
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\webhook\V0.1.1\webhook.php", "PHP", 48, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\config.json", "JSON", 0, -3, 0, -1, -4
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\core\httpAdapter.php", "PHP", -94, 0, -10, -12, -116
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\core\messageChain.php", "PHP", -135, 0, -56, -23, -214
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\core\miraiApiHttp.php", "PHP", -286, 0, -172, -52, -510
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\core\qqObj.php", "PHP", -419, 0, -154, -51, -624
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\core\webhookAdapter.php", "PHP", -32, 0, -17, -9, -58
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\easyMirai\V0.1.1\easyMirai.php", "PHP", -34, 0, -11, -5, -50
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\mirai.php", "PHP", 0, 0, 0, -1, -1
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\mirai\webhook\V0.1.1\webhook.php", "PHP", -48, 0, -19, -6, -73
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\onebotAapter\config.json", "JSON", 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\onebotAapter\onebot.php", "PHP", 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\onebot\config.json", "JSON", 0, 0, 0, -1, -1
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\onebot\onebot.php", "PHP", 0, 0, 0, -1, -1
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\standardApter\basic\V0.1.1\QQObj.php", "PHP", -65, 0, -163, -39, -267
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\standardApter\basic\V0.1.1\QQObjManager.php", "PHP", -54, 0, -14, -9, -77
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\standardApter\basic\V0.1.1\messageChain.php", "PHP", -46, 0, -56, -17, -119
