"filename", "language", "PHP", "JSON", "Markdown", "Log", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel-Worker\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 93, 0, 0, 36, 129
"f:\Project\工作文件夹\MiraiTravel-Worker\CONTRIBUTING.md", "Markdown", 0, 0, 3, 0, 0, 3, 6
"f:\Project\工作文件夹\MiraiTravel-Worker\MiraiTravel.php", "PHP", 5, 0, 0, 0, 4, 6, 15
"f:\Project\工作文件夹\MiraiTravel-Worker\README.md", "Markdown", 0, 0, 55, 0, 0, 13, 68
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\QQObjTrait.php", "PHP", 66, 0, 0, 0, 174, 41, 281
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\httpAdapter.php", "PHP", 94, 0, 0, 0, 10, 12, 116
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\messageChain.php", "PHP", 135, 0, 0, 0, 56, 23, 214
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\miraiApiHttp.php", "PHP", 286, 0, 0, 0, 172, 52, 510
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\president.php", "PHP", 18, 0, 0, 0, 8, 6, 32
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\qqObj.php", "PHP", 420, 0, 0, 0, 154, 51, 625
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\webhookAdapter.php", "PHP", 32, 0, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\config.json", "JSON", 0, 6, 0, 0, 0, 0, 6
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\easyMirai\V0.1.1\easyMirai.php", "PHP", 34, 0, 0, 0, 11, 5, 50
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\mirai.php", "PHP", 1, 0, 0, 0, 0, 5, 6
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\webhook\V0.1.1\webhook.php", "PHP", 48, 0, 0, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\onebotAapter\config.json", "JSON", 0, 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\onebotAapter\onebot.php", "PHP", 0, 0, 0, 0, 0, 1, 1
