"filename", "language", "PHP", "JSON", "Log", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\QQObjTrait.php", "PHP", 392, 0, 0, 146, 41, 579
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\httpAdapter.php", "PHP", 94, 0, 0, 10, 12, 116
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\messageChain.php", "PHP", 135, 0, 0, 56, 23, 214
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\miraiApiHttp.php", "PHP", 286, 0, 0, 172, 52, 510
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\president.php", "PHP", 19, 0, 0, 8, 6, 33
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\qqObj.php", "PHP", 8, 0, 0, 3, 3, 14
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\webhookAdapter.php", "PHP", 32, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\config.json", "JSON", 0, 6, 0, 0, 0, 6
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\easyMirai\V0.1.1\easyMirai.php", "PHP", 34, 0, 0, 11, 5, 50
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\mirai.php", "PHP", 1, 0, 0, 0, 5, 6
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\webhook\V0.1.1\webhook.php", "PHP", 48, 0, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\onebotAapter\config.json", "JSON", 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\onebotAapter\onebot.php", "PHP", 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\basic\President.php", "PHP", 22, 0, 0, 19, 10, 51
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\basic\QQObj.php", "PHP", 6, 0, 0, 0, 3, 9
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\basic\QQObjInterface.php", "PHP", 47, 0, 0, 193, 39, 279
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\basic\QQObjManager.php", "PHP", 54, 0, 0, 14, 9, 77
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\basic\QQObjTrait.php", "PHP", 70, 0, 0, 174, 41, 285
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\basic\messageChain.php", "PHP", 21, 0, 0, 56, 16, 93
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\easyQQ\easyQQ.php", "PHP", 42, 0, 0, 11, 8, 61
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\standard\webhook.php\webhook.php", "PHP", 35, 0, 0, 11, 8, 54
"f:\Project\工作文件夹\MiraiTravel-Worker\apter\QQ\miraiAdapter\basic\QQObjTrait.php", "PHP", -66, 0, 0, -174, -41, -281
