"filename", "language", "Markdown", "JSON", "Log", "PHP", "TypeScript", "HTML", "JavaScript", "SCSS", "XML", "CSS", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\QQObjTrait.php", "PHP", 0, 0, 0, -392, 0, 0, 0, 0, 0, 0, -146, -41, -579
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\httpAdapter.php", "PHP", 0, 0, 0, -94, 0, 0, 0, 0, 0, 0, -10, -12, -116
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\messageChain.php", "PHP", 0, 0, 0, -135, 0, 0, 0, 0, 0, 0, -56, -23, -214
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\miraiApiHttp.php", "PHP", 0, 0, 0, -286, 0, 0, 0, 0, 0, 0, -172, -52, -510
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\president.php", "PHP", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, -8, -6, -33
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\qqObj.php", "PHP", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -3, -3, -14
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\basic\webhookAdapter.php", "PHP", 0, 0, 0, -32, 0, 0, 0, 0, 0, 0, -17, -9, -58
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\config.json", "JSON", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\easyMirai\V0.1.1\easyMirai.php", "PHP", 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, -11, -5, -50
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\mirai.php", "PHP", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -5, -6
"f:\Project\工作文件夹\MiraiTravel-Worker\Adapter\QQ\miraiAdapter\webhook\V0.1.1\webhook.php", "PHP", 0, 0, 0, -48, 0, 0, 0, 0, 0, 0, -19, -6, -73
