"filename", "language", "Markdown", "JSON", "Log", "SCSS", "HTML", "TypeScript", "JavaScript", "PHP", "XML", "CSS", "comment", "blank", "total"
"f:\Project\工作文件夹\MiraiTravel\.github\ISSUE_TEMPLATE\bug_report.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"f:\Project\工作文件夹\MiraiTravel\.github\ISSUE_TEMPLATE\feature_request.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\QQObjTrait.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 377, 0, 0, 144, 40, 561
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\httpAdapter.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 10, 12, 116
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\messageChain.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 56, 23, 214
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\miraiApiHttp.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 172, 52, 510
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\president.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 8, 6, 33
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\qqObj.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 4, 15
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\basic\webhookAdapter.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 17, 9, 58
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\config.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\easyQQ\easyQQ.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 11, 5, 50
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\mirai.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 2, 15
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\miraiAdapter\webhook\webhook.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 19, 6, 73
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\onebotAapter\config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\onebotAapter\onebot.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\President.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 19, 10, 51
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObj.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObjInterface.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 193, 39, 279
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObjManager.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 14, 9, 77
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\QQObjTrait.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 174, 41, 285
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\basic\messageChain.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 56, 16, 93
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\easyQQ\easyQQ.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 11, 8, 61
"f:\Project\工作文件夹\MiraiTravel\Adapter\QQ\standard\webhook.php\webhook.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 11, 7, 52
"f:\Project\工作文件夹\MiraiTravel\CODE_OF_CONDUCT.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"f:\Project\工作文件夹\MiraiTravel\CONTRIBUTING.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"f:\Project\工作文件夹\MiraiTravel\MiraiTravel.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 6, 16
