Date : 2023-04-07 17:29:15
Directory : f:\Project\工作文件夹\MiraiTravel
Total : 313 files,  23060 codes, 3426 comments, 1754 blanks, all 28240 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        121 |     12,946 |        405 |        184 |     13,535 |
| PHP        |         62 |      5,153 |      3,019 |        997 |      9,169 |
| Markdown   |         76 |      3,626 |          0 |        507 |      4,133 |
| HTML       |         20 |        667 |          0 |         20 |        687 |
| Log        |          8 |        484 |          0 |         36 |        520 |
| JSON       |         20 |         96 |          0 |          3 |         99 |
| TypeScript |          1 |         85 |          2 |          3 |         90 |
| CSS        |          2 |          2 |          0 |          2 |          4 |
| XML        |          1 |          1 |          0 |          0 |          1 |
| SCSS       |          2 |          0 |          0 |          2 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        313 |     23,060 |      3,426 |      1,754 |     28,240 |
| . (Files)                                                                                                                        |          4 |        157 |          4 |         58 |        219 |
| .github                                                                                                                          |          2 |         45 |          0 |         15 |         60 |
| .github\ISSUE_TEMPLATE                                                                                                           |          2 |         45 |          0 |         15 |         60 |
| Adapter                                                                                                                          |         21 |      1,348 |        922 |        294 |      2,564 |
| Adapter\QQ                                                                                                                       |         21 |      1,348 |        922 |        294 |      2,564 |
| Adapter\QQ\miraiAdapter                                                                                                          |         11 |      1,052 |        444 |        159 |      1,655 |
| Adapter\QQ\miraiAdapter (Files)                                                                                                  |          2 |         19 |          4 |          2 |         25 |
| Adapter\QQ\miraiAdapter\basic                                                                                                    |          7 |        951 |        410 |        146 |      1,507 |
| Adapter\QQ\miraiAdapter\easyQQ                                                                                                   |          1 |         34 |         11 |          5 |         50 |
| Adapter\QQ\miraiAdapter\webhook                                                                                                  |          1 |         48 |         19 |          6 |         73 |
| Adapter\QQ\onebotAapter                                                                                                          |          2 |          0 |          0 |          2 |          2 |
| Adapter\QQ\standard                                                                                                              |          8 |        296 |        478 |        133 |        907 |
| Adapter\QQ\standard\basic                                                                                                        |          6 |        220 |        456 |        118 |        794 |
| Adapter\QQ\standard\easyQQ                                                                                                       |          1 |         42 |         11 |          8 |         61 |
| Adapter\QQ\standard\webhook.php                                                                                                  |          1 |         34 |         11 |          7 |         52 |
| VSCodeCounter                                                                                                                    |         55 |      2,921 |          0 |        286 |      3,207 |
| VSCodeCounter\2023-02-06_08-41-06                                                                                                |          5 |        136 |          0 |         26 |        162 |
| VSCodeCounter\2023-02-10_12-34-54                                                                                                |          5 |        122 |          0 |         26 |        148 |
| VSCodeCounter\2023-02-10_19-54-34                                                                                                |          5 |        124 |          0 |         26 |        150 |
| VSCodeCounter\2023-02-19_13-45-01                                                                                                |          5 |        161 |          0 |         26 |        187 |
| VSCodeCounter\2023-03-08_22-06-18                                                                                                |          5 |        139 |          0 |         26 |        165 |
| VSCodeCounter\2023-03-27_13-12-04                                                                                                |          5 |        246 |          0 |         26 |        272 |
| VSCodeCounter\2023-03-31_16-20-36                                                                                                |          5 |        184 |          0 |         26 |        210 |
| VSCodeCounter\2023-04-02_15-53-47                                                                                                |          5 |        270 |          0 |         26 |        296 |
| VSCodeCounter\2023-04-03_16-48-00                                                                                                |          5 |        278 |          0 |         26 |        304 |
| VSCodeCounter\2023-04-03_21-51-17                                                                                                |          5 |        200 |          0 |         26 |        226 |
| VSCodeCounter\2023-04-06_15-54-39                                                                                                |          5 |      1,061 |          0 |         26 |      1,087 |
| core                                                                                                                             |         33 |      3,376 |      2,020 |        614 |      6,010 |
| core (Files)                                                                                                                     |         12 |        815 |        298 |        166 |      1,279 |
| core\miraiTravelSoftware                                                                                                         |         21 |      2,561 |      1,722 |        448 |      4,731 |
| core\miraiTravelSoftware (Files)                                                                                                 |          5 |        442 |         31 |         69 |        542 |
| core\miraiTravelSoftware\Stay                                                                                                    |         16 |      2,119 |      1,691 |        379 |      4,189 |
| core\miraiTravelSoftware\Stay (Files)                                                                                            |          2 |        117 |          0 |         19 |        136 |
| core\miraiTravelSoftware\Stay\Connection                                                                                         |          2 |        474 |        497 |         99 |      1,070 |
| core\miraiTravelSoftware\Stay\Events                                                                                             |          2 |        233 |        186 |         46 |        465 |
| core\miraiTravelSoftware\Stay\Protocols                                                                                          |         10 |      1,295 |      1,008 |        215 |      2,518 |
| core\miraiTravelSoftware\Stay\Protocols (Files)                                                                                  |          1 |        210 |         89 |         25 |        324 |
| core\miraiTravelSoftware\Stay\Protocols\Http                                                                                     |          9 |      1,085 |        919 |        190 |      2,194 |
| core\miraiTravelSoftware\Stay\Protocols\Http (Files)                                                                             |          5 |        875 |        680 |        138 |      1,693 |
| core\miraiTravelSoftware\Stay\Protocols\Http\Session                                                                             |          4 |        210 |        239 |         52 |        501 |
| docs                                                                                                                             |         96 |        946 |         15 |        152 |      1,113 |
| docs (Files)                                                                                                                     |          2 |         66 |          0 |          2 |         68 |
| docs\announcement                                                                                                                |          1 |         33 |          0 |          1 |         34 |
| docs\assets                                                                                                                      |         70 |        116 |         15 |         69 |        200 |
| docs\manual                                                                                                                      |          8 |        291 |          0 |          8 |        299 |
| docs\manual (Files)                                                                                                              |          1 |         33 |          0 |          1 |         34 |
| docs\manual\adapter                                                                                                              |          4 |        159 |          0 |          4 |        163 |
| docs\manual\adapter (Files)                                                                                                      |          1 |         33 |          0 |          1 |         34 |
| docs\manual\adapter\QQ                                                                                                           |          3 |        126 |          0 |          3 |        129 |
| docs\manual\adapter\QQ (Files)                                                                                                   |          1 |         33 |          0 |          1 |         34 |
| docs\manual\adapter\QQ\standard                                                                                                  |          2 |         93 |          0 |          2 |         95 |
| docs\manual\adapter\QQ\standard (Files)                                                                                          |          1 |         33 |          0 |          1 |         34 |
| docs\manual\adapter\QQ\standard\basic                                                                                            |          1 |         60 |          0 |          1 |         61 |
| docs\manual\component                                                                                                            |          1 |         33 |          0 |          1 |         34 |
| docs\manual\plugin                                                                                                               |          1 |         33 |          0 |          1 |         34 |
| docs\manual\script                                                                                                               |          1 |         33 |          0 |          1 |         34 |
| docs\markdown                                                                                                                    |          7 |        176 |          0 |         64 |        240 |
| docs\markdown (Files)                                                                                                            |          5 |        126 |          0 |         44 |        170 |
| docs\markdown\QQBot                                                                                                              |          1 |         47 |          0 |         15 |         62 |
| docs\markdown\System                                                                                                             |          1 |          3 |          0 |          5 |          8 |
| docs\study                                                                                                                       |          8 |        264 |          0 |          8 |        272 |
| docs\study (Files)                                                                                                               |          1 |         33 |          0 |          1 |         34 |
| docs\study\adapter                                                                                                               |          1 |         33 |          0 |          1 |         34 |
| docs\study\advice                                                                                                                |          1 |         33 |          0 |          1 |         34 |
| docs\study\component                                                                                                             |          1 |         33 |          0 |          1 |         34 |
| docs\study\consoleDesk                                                                                                           |          1 |         33 |          0 |          1 |         34 |
| docs\study\course                                                                                                                |          1 |         33 |          0 |          1 |         34 |
| docs\study\course\mirai                                                                                                          |          1 |         33 |          0 |          1 |         34 |
| docs\study\plugin                                                                                                                |          1 |         33 |          0 |          1 |         34 |
