2023-01-18 04:13:23 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 04:14:21 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 04:15:25 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 04:15:25 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 07:52:12 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":712201056,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 07:52:12 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":712201056,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 07:57:20 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":712201056,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 07:57:20 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":712201056,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:27:19 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:27:19 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:27:24 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:27:24 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:43:21 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:43:21 [DEBUG] [adaptar_manager] [ "auto" | "send_group_message" | {"sessionKey":"6urCRD06","target":604568448,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:43:26 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:43:26 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:44:11 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:44:11 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:44:11 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:44:11 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:44:29 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:44:29 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:48:05 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:48:05 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:48:09 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:48:09 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
2023-01-18 10:49:44 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now webhook]
2023-01-18 10:49:44 [DEBUG] [adaptar_manager] [ "auto" | "send_friend_message" | {"sessionKey":"6urCRD06","target":3325629928,"messageChain":[{"type":"Plain","text":"Hello MiraiTravel!"}]} | {"qqbot":{}} ][now http]
